p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,.,p,b,P,.,P,.,.,P,.,.,.,P,.,.,K,.,.,.,.,.,.,.,.,.,.,P,.,B,.,.,.,.,.,.,black,gxf4+,g5f4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,.,.,b,P,.,P,.,.,p,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,K,.,P,.,B,.,.,.,.,.,.,black,Bd1,h5d1
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,k,.,.,.,P,.,P,.,.,p,.,.,.,P,.,.,.,.,.,.,B,.,.,.,.,K,.,P,.,.,.,b,.,.,.,.,black,Kd4,e5d4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,.,p,.,.,p,.,.,.,.,.,P,.,P,k,.,p,.,.,.,P,.,.,.,.,.,.,B,.,.,.,.,K,.,P,.,.,.,b,.,.,.,.,black,Bg4,d1g4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,.,p,.,.,p,.,.,.,.,.,P,.,P,k,.,p,b,.,.,P,.,.,.,.,.,P,B,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,black,Bxh3,g4h3
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,.,p,.,.,p,.,.,.,.,.,P,.,P,k,.,p,.,.,.,P,.,.,.,K,.,b,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,black,Ke5,d4e5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,.,p,.,.,p,.,k,.,.,.,P,.,P,.,.,p,.,.,.,P,.,.,.,K,.,b,.,.,.,.,.,.,.,.,.,B,.,.,.,.,.,.,black,h5,h6h5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,B,.,.,.,p,.,k,.,.,p,P,.,P,.,.,p,.,.,.,P,.,.,.,K,.,b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,black,Bg4+,h3g4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,P,.,.,B,.,.,.,p,.,k,.,.,p,P,.,P,.,.,p,b,.,.,P,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,black,Kxd6,e5d6
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,e4,e2e4
r,n,b,q,k,b,n,r,p,p,p,.,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,P,P,P,R,N,B,Q,K,B,N,R,white,exd5,e4d5
r,n,b,.,k,b,n,r,p,p,p,.,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,q,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,P,P,P,R,N,B,Q,K,B,N,R,white,Nc3,b1c3
r,n,b,q,k,b,n,r,p,p,p,.,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,P,P,P,P,.,P,P,P,R,.,B,Q,K,B,N,R,white,d4,d2d4
r,n,b,q,k,b,.,r,p,p,p,.,p,p,p,p,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,N,.,.,.,.,.,P,P,P,.,.,P,P,P,R,.,B,Q,K,B,N,R,white,Nf3,g1f3
r,.,b,q,k,b,.,r,p,p,p,.,p,p,p,p,.,.,n,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,N,.,.,N,.,.,P,P,P,.,.,P,P,P,R,.,B,Q,K,B,.,R,white,h3,h2h3
r,.,b,q,k,b,.,r,p,p,p,.,.,p,p,p,.,.,n,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,N,.,.,N,.,P,P,P,P,.,.,P,P,.,R,.,B,Q,K,B,.,R,white,Bd3,f1d3
r,.,b,q,k,b,.,r,p,p,p,.,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,.,n,.,.,.,.,.,.,N,B,.,N,.,P,P,P,P,.,.,P,P,.,R,.,B,Q,K,.,.,R,white,Nxd4,f3d4
r,.,b,.,k,b,.,r,p,p,p,.,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,.,q,.,.,.,.,.,.,N,B,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,Q,K,.,.,R,white,Bb5+,d3b5
r,.,b,.,k,b,.,r,p,p,.,.,.,p,p,p,.,.,p,.,p,n,.,.,.,B,.,.,.,.,.,.,.,.,.,q,.,.,.,.,.,.,N,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,Q,K,.,.,R,white,Qxd4,d1d4
